code,name,city,state,statename,lat,lng,search
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,Louisiana,30.533,-91.1567,btr|batonrougemetropolitanairport|batonrougela|louisiana
BTT,Bettles Airport,Bettles,AK,Alaska,66.9134,-151.551,btt|bettlesairport|bettlesak|alaska
BTV,Burlington International Airport,South Burlington,VT,Vermont,44.4688,-73.1552,btv|burlingtoninternationalairport|southburlingtonvt|vermont
BUF,Greater Buffalo International Airport,Buffalo,NY,New York,42.9309,-78.738,buf|greaterbuffalointernationalairport|buffalony|newyork
BUR,Burbank Glendale Pasadena Airport,Burbank,CA,California,34.1963,-118.352,bur|burbankglendalepasadenaairport|burbankca|california
BWI,Baltimore-Washington International Thurgood Mars,Baltimore,MD,Maryland,39.1841,-76.6745,bwi|baltimorewashingtoninternationalthurgoodmars|baltimoremd|maryland
BZN,Gallatin Field Airport,Bozeman,MT,Montana,45.7722,-111.157,bzn|gallatinfieldairport|bozemanmt|montana
CAE,Columbia Metropolitan Airport,West Columbia,SC,South Carolina,33.9468,-81.1241,cae|columbiametropolitanairport|westcolumbiasc|southcarolina
CAK,Akron Canton Regional Airport,Canton,OH,Ohio,40.9149,-81.4309,cak|akroncantonregionalairport|cantonoh|ohio
CDB,Cold Bay Airport,Cold Bay,AK,Alaska,55.2005,-162.705,cdb|coldbayairport|coldbayak|alaska
CDC,Cedar City Municipal Airport,Cedar City,UT,Utah,37.6992,-113.092,cdc|cedarcitymunicipalairport|cedarcityut|utah
CDR,Chadron Municipal Airport,Chadron,NE,Nebraska,42.8284,-103.094,cdr|chadronmunicipalairport|chadronne|nebraska
CDV,Merle K Mudhole Smith Airport,Cordova,AK,Alaska,60.4924,-145.475,cdv|merlekmudholesmithairport|cordovaak|alaska
CDW,Essex County Airport,Fairfield,NJ,New Jersey,40.8759,-74.2775,cdw|essexcountyairport|fairfieldnj|newjersey
CEC,Jack Mcnamara Field Airport,Crescent City,CA,California,41.7765,-124.237,cec|jackmcnamarafieldairport|crescentcityca|california
CEM,Central Airport,Circle,AK,Alaska,65.6121,-144.674,cem|centralairport|circleak|alaska
CEZ,Cortez-Montezuma County Airport,Cortez,CO,Colorado,37.3044,-108.63,cez|cortezmontezumacountyairport|cortezco|colorado
CGA,Craig Seaplane Base,Craig,AK,Alaska,55.4592,-133.106,cga|craigseaplanebase|craigak|alaska
CGI,Cape Girardeau Municipal Airport,Scott City,MO,Missouri,37.2272,-89.5637,cgi|capegirardeaumunicipalairport|scottcitymo|missouri
CHA,Chattanooga Metropolitan Airport,Chattanooga,TN,Tennessee,35.0373,-85.1966,cha|chattanoogametropolitanairport|chattanoogatn|tennessee
CHO,Charlottesville Albemarle Airport,Earlysville,VA,Virginia,38.14,-78.4487,cho|charlottesvillealbemarleairport|earlysvilleva|virginia
CHS,Charleston International Airport,North Charleston,SC,South Carolina,32.8838,-80.0356,chs|charlestoninternationalairport|northcharlestonsc|southcarolina
CHU,Chuathbaluk,Chuathbaluk,AK,Alaska,61.5769,-159.244,chu|chuathbaluk|chuathbalukak|alaska
CIC,Chico Municipal Airport,Chico,CA,California,39.7987,-121.854,cic|chicomunicipalairport|chicoca|california
CID,Cedar Rapids Municipal Airport,Cedar Rapids,IA,Iowa,41.8893,-91.7008,cid|cedarrapidsmunicipalairport|cedarrapidsia|iowa
CIK,Chalkyitsik Airport,Chalkyitsik,AK,Alaska,66.65,-143.75,cik|chalkyitsikairport|chalkyitsikak|alaska
CIU,Chippewa County International Airport,Kincheloe,MI,Michigan,46.2581,-84.4739,ciu|chippewacountyinternationalairport|kincheloemi|michigan
CKB,Benedum Airport,Clarksburg,WV,West Virginia,39.2967,-80.2314,ckb|benedumairport|clarksburgwv|westvirginia
CKD,Crooked Creek Airport,Aniak,AK,Alaska,61.8667,-158.133,ckd|crookedcreekairport|aniakak|alaska
CKX,Chicken Airport,Tok,AK,Alaska,64.0833,-141.917,ckx|chickenairport|tokak|alaska
CLD,Mcclellan Palomar Airport,Carlsbad,CA,California,33.1255,-117.275,cld|mcclellanpalomarairport|carlsbadca|california
CLE,Hopkins International Airport,Cleveland,OH,Ohio,41.4115,-81.8339,cle|hopkinsinternationalairport|clevelandoh|ohio
CLL,Easterwood Field Airport,College Station,TX,Texas,30.5938,-96.3685,cll|easterwoodfieldairport|collegestationtx|texas
CLM,William R Fairchild International Airport,Port Angeles,WA,Washington,48.1155,-123.491,clm|williamrfairchildinternationalairport|portangeleswa|washington
CLP,Clarks Point Airport,Clarks Point,AK,Alaska,58.8517,-158.51,clp|clarkspointairport|clarkspointak|alaska
CLT,Douglas International Airport,Charlotte,NC,North Carolina,35.2226,-80.946,clt|douglasinternationalairport|charlottenc|northcarolina
CMH,Port Columbus International Airport,Columbus,OH,Ohio,39.9974,-82.8877,cmh|portcolumbusinternationalairport|columbusoh|ohio
CMI,University of Illinois-Willard Airport,Savoy,IL,Illinois,40.0367,-88.2638,cmi|universityofillinoiswillardairport|savoyil|illinois
CMX,Houghton County Memorial Airport,Hancock,MI,Michigan,47.1689,-88.4942,cmx|houghtoncountymemorialairport|hancockmi|michigan
CNM,Cavern City Air Terminal Airport,Carlsbad,NM,New Mexico,32.3458,-104.251,cnm|caverncityairterminalairport|carlsbadnm|newmexico
CNY,Canyonlands Field Airport,Thompson,UT,Utah,38.7609,-109.742,cny|canyonlandsfieldairport|thompsonut|utah
COD,Yellowstone Regional Airport,Cody/Yellowstone,WY,Wyoming,44.5134,-109.031,cod|yellowstoneregionalairport|cody/yellowstonewy|wyoming
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,Colorado,38.7829,-104.697,cos|cityofcoloradospringsmunicipalairport|coloradospringsco|colorado
COU,Columbia Regional Airport,Columbia,MO,Missouri,38.8174,-92.2218,cou|columbiaregionalairport|columbiamo|missouri
CPR,Natrona County International Airport,Casper,WY,Wyoming,42.8966,-106.465,cpr|natronacountyinternationalairport|casperwy|wyoming
CPX,Culebra Airport,Culebra,PR,Puerto Rico,18.3204,-65.2929,cpx|culebraairport|culebrapr|puertorico
CRP,Corpus Christi International Airport,Corpus Christi,TX,Texas,27.7747,-97.5019,crp|corpuschristiinternationalairport|corpuschristitx|texas
CRW,Yeager Airport,Charleston,WV,West Virginia,38.3697,-81.5951,crw|yeagerairport|charlestonwv|westvirginia
CSG,Columbus Metropolitan Airport,Columbus,GA,Georgia,32.5184,-84.9401,csg|columbusmetropolitanairport|columbusga|georgia
CVG,Greater Cincinnati International Airport,Hebron,OH,Ohio,39.0571,-84.6625,cvg|greatercincinnatiinternationalairport|hebronoh|ohio
CVN,Clovis Municipal Airport,Texico,NM,New Mexico,34.4271,-103.087,cvn|clovismunicipalairport|texiconm|newmexico
CWA,Central Wisconsin Airport,Mosinee,WI,Wisconsin,44.7846,-89.6704,cwa|centralwisconsinairport|mosineewi|wisconsin
CYF,Chefornak Airport,Chefornak,AK,Alaska,60.1558,-164.273,cyf|chefornakairport|chefornakak|alaska
CYS,Cheyenne Airport,Cheyenne,WY,Wyoming,41.1527,-104.819,cys|cheyenneairport|cheyennewy|wyoming
CZN,Chisana Airport,Gakona,AK,Alaska,62.0833,-142.05,czn|chisanaairport|gakonaak|alaska
DAB,Daytona Beach International Airport,Daytona Beach,FL,Florida,29.1874,-81.0615,dab|daytonabeachinternationalairport|daytonabeachfl|florida
DAL,Dallas Love Field Airport,Dallas,TX,Texas,32.8439,-96.8496,dal|dallaslovefieldairport|dallastx|texas
DAY,James M Cox Dayton International Airport,Dayton,OH,Ohio,39.8968,-84.2207,day|jamesmcoxdaytoninternationalairport|daytonoh|ohio
